Unnamed: 0,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
26,59.0,technician,married,unknown,no,yes,no,telephone,may,mon,93.0,1,999,0,nonexistent,no
27,39.0,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233.0,1,999,0,nonexistent,no
28,54.0,technician,single,university.degree,unknown,no,no,telephone,may,mon,255.0,2,999,0,nonexistent,no
29,55.0,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362.0,1,999,0,nonexistent,no
30,46.0,admin.,married,unknown,no,no,no,telephone,may,mon,348.0,1,999,0,nonexistent,no
31,59.0,technician,married,unknown,no,yes,no,telephone,may,mon,386.0,1,999,0,nonexistent,no
32,49.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,73.0,1,999,0,nonexistent,no
33,54.0,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230.0,1,999,0,nonexistent,no
34,54.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208.0,1,999,0,nonexistent,no
35,55.0,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336.0,1,999,0,nonexistent,no
36,34.0,services,married,,no,no,no,telephone,may,mon,365.0,1,999,0,nonexistent,no
37,52.0,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666.0,1,999,0,nonexistent,no
38,41.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,577.0,1,999,0,nonexistent,no
39,56.0,technician,married,basic.4y,no,yes,no,telephone,may,mon,137.0,1,999,0,nonexistent,no
40,58.0,management,unknown,university.degree,no,yes,no,telephone,may,mon,366.0,1,999,0,nonexistent,no
41,32.0,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314.0,1,999,0,nonexistent,no
42,38.0,admin.,single,professional.course,no,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,no
43,57.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,212.0,1,999,0,nonexistent,no
44,44.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188.0,1,999,0,nonexistent,no
45,42.0,technician,single,professional.course,unknown,no,no,telephone,may,mon,22.0,1,999,0,nonexistent,no
46,57.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616.0,1,999,0,nonexistent,no
47,40.0,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178.0,1,999,0,nonexistent,no
48,35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,355.0,1,999,0,nonexistent,no
49,45.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225.0,2,999,0,nonexistent,no
50,54.0,admin.,married,high.school,no,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,no
51,39.0,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266.0,1,999,0,nonexistent,no
52,60.0,,married,high.school,no,no,no,telephone,may,mon,253.0,1,999,0,nonexistent,no
53,53.0,admin.,single,professional.course,no,no,no,telephone,may,mon,179.0,1,999,0,nonexistent,no
54,55.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269.0,2,999,0,nonexistent,no
55,55.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135.0,1,999,0,nonexistent,no
56,50.0,management,married,university.degree,unknown,no,yes,telephone,may,mon,161.0,1,999,0,nonexistent,no
57,45.0,services,married,high.school,unknown,yes,no,telephone,may,mon,787.0,1,999,0,nonexistent,no
58,55.0,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145.0,1,999,0,nonexistent,no
59,25.0,technician,single,university.degree,no,yes,no,telephone,may,mon,174.0,1,999,0,nonexistent,no
60,47.0,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449.0,1,999,0,nonexistent,no
61,51.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812.0,1,999,0,nonexistent,no
62,42.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164.0,1,999,0,nonexistent,no
63,42.0,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366.0,1,999,0,nonexistent,no
64,48.0,admin.,married,high.school,no,no,no,telephone,may,mon,357.0,1,999,0,nonexistent,no
65,37.0,admin.,married,university.degree,no,no,no,telephone,may,mon,,1,999,0,nonexistent,no
66,44.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91.0,1,999,0,nonexistent,no
67,33.0,admin.,married,unknown,no,yes,no,telephone,may,mon,273.0,1,999,0,nonexistent,no
68,56.0,,married,basic.9y,no,yes,no,telephone,may,mon,158.0,2,999,0,nonexistent,no
69,44.0,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177.0,1,999,0,nonexistent,no
70,41.0,management,married,basic.6y,no,no,no,telephone,may,mon,200.0,1,999,0,nonexistent,no
71,44.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,no
72,47.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176.0,1,999,0,nonexistent,no
73,57.0,unknown,married,unknown,unknown,no,no,telephone,may,mon,211.0,1,999,0,nonexistent,no
74,37.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214.0,1,999,0,nonexistent,no
75,41.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575.0,1,999,0,nonexistent,yes
76,55.0,technician,married,university.degree,no,no,no,telephone,may,mon,349.0,1,999,0,nonexistent,no
77,33.0,services,married,high.school,unknown,yes,no,telephone,may,mon,337.0,2,999,0,nonexistent,no
78,55.0,management,married,unknown,unknown,yes,no,telephone,may,mon,272.0,1,999,0,nonexistent,no
79,42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208.0,1,999,0,nonexistent,no
80,50.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193.0,1,999,0,nonexistent,no
81,51.0,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212.0,1,999,0,nonexistent,no
82,38.0,admin.,married,high.school,unknown,no,no,telephone,may,mon,165.0,2,999,0,nonexistent,no
83,49.0,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042.0,1,999,0,nonexistent,yes
84,38.0,technician,single,university.degree,no,no,yes,telephone,may,mon,20.0,1,999,0,nonexistent,no
85,31.0,admin.,divorced,high.school,no,no,no,telephone,may,mon,,1,999,0,nonexistent,no
86,41.0,management,married,basic.6y,no,no,no,telephone,may,mon,529.0,2,999,0,nonexistent,no
87,39.0,,married,university.degree,no,yes,yes,telephone,may,mon,192.0,1,999,0,nonexistent,no
88,49.0,technician,married,basic.9y,no,no,no,telephone,may,mon,1467.0,1,999,0,nonexistent,yes
89,34.0,admin.,married,,no,yes,no,telephone,may,mon,188.0,2,999,0,nonexistent,no
90,35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,180.0,2,999,0,nonexistent,no
91,57.0,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48.0,1,999,0,nonexistent,no
92,60.0,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213.0,2,999,0,nonexistent,no
93,33.0,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545.0,1,999,0,nonexistent,no
94,42.0,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583.0,1,999,0,nonexistent,no
95,45.0,services,married,professional.course,no,yes,no,telephone,may,mon,221.0,1,999,0,nonexistent,no
96,42.0,management,married,university.degree,no,no,no,telephone,may,mon,426.0,1,999,0,nonexistent,no
97,53.0,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,,1,999,0,nonexistent,no
98,37.0,,single,professional.course,no,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,no
99,44.0,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257.0,1,999,0,nonexistent,no
100,54.0,services,married,unknown,no,yes,no,telephone,may,mon,229.0,1,999,0,nonexistent,no
101,49.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55.0,3,999,0,nonexistent,no
102,54.0,services,married,unknown,no,no,no,telephone,may,mon,400.0,1,999,0,nonexistent,no
103,52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,no
104,52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190.0,1,999,0,nonexistent,no
105,43.0,services,single,high.school,unknown,no,no,telephone,may,mon,21.0,1,999,0,nonexistent,no
106,34.0,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300.0,2,999,0,nonexistent,no
107,35.0,admin.,married,high.school,no,yes,no,telephone,may,mon,123.0,2,999,0,nonexistent,no
108,42.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293.0,1,999,0,nonexistent,no
109,43.0,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325.0,1,999,0,nonexistent,no
110,60.0,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,,1,999,0,nonexistent,no
111,58.0,unemployed,married,,unknown,no,no,telephone,may,mon,849.0,2,999,0,nonexistent,no
112,35.0,services,divorced,high.school,no,yes,no,telephone,may,mon,194.0,1,999,0,nonexistent,no
113,55.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212.0,2,999,0,nonexistent,no
114,37.0,management,married,university.degree,no,no,no,telephone,may,mon,337.0,2,999,0,nonexistent,no
115,36.0,blue-collar,married,high.school,no,no,no,telephone,may,mon,286.0,1,999,0,nonexistent,no
116,52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247.0,2,999,0,nonexistent,no
117,57.0,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518.0,1,999,0,nonexistent,no
118,56.0,admin.,married,unknown,no,yes,no,telephone,may,mon,364.0,1,999,0,nonexistent,no
119,48.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178.0,1,999,0,nonexistent,no
120,40.0,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98.0,1,999,0,nonexistent,no
121,49.0,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439.0,1,999,0,nonexistent,no
122,41.0,services,married,high.school,no,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,no
123,45.0,technician,married,high.school,no,yes,no,telephone,may,mon,79.0,1,999,0,nonexistent,no
124,,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175.0,1,999,0,nonexistent,no
125,42.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,262.0,2,999,0,nonexistent,no
126,50.0,admin.,married,basic.6y,no,no,no,telephone,may,mon,61.0,1,999,0,nonexistent,no
127,31.0,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78.0,1,999,0,nonexistent,no
128,56.0,retired,married,basic.4y,no,yes,no,telephone,may,mon,102.0,2,999,0,nonexistent,no
129,41.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579.0,1,999,0,nonexistent,yes
130,37.0,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143.0,1,999,0,nonexistent,no
131,41.0,technician,married,professional.course,unknown,no,no,telephone,may,mon,677.0,1,999,0,nonexistent,no
132,35.0,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267.0,1,999,0,nonexistent,no
133,37.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345.0,1,999,0,nonexistent,no
134,52.0,management,married,university.degree,no,no,no,telephone,may,mon,185.0,1,999,0,nonexistent,no
135,39.0,management,divorced,university.degree,no,no,no,telephone,may,mon,207.0,1,999,0,nonexistent,no
136,39.0,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69.0,2,999,0,nonexistent,no
137,56.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100.0,2,999,0,nonexistent,no
138,34.0,services,married,high.school,no,yes,no,telephone,may,mon,125.0,2,999,0,nonexistent,no
139,45.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461.0,1,999,0,nonexistent,yes
140,43.0,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240.0,1,999,0,nonexistent,no
141,56.0,management,married,unknown,no,yes,no,telephone,may,mon,70.0,1,999,0,nonexistent,no
142,39.0,management,married,university.degree,no,yes,no,telephone,may,mon,193.0,1,999,0,nonexistent,no
143,53.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136.0,1,999,0,nonexistent,no
144,38.0,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73.0,1,999,0,nonexistent,no
145,42.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528.0,1,999,0,nonexistent,no
146,42.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541.0,1,999,0,nonexistent,no
147,35.0,,single,high.school,no,yes,no,telephone,may,mon,338.0,1,999,0,nonexistent,no
148,40.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163.0,1,999,0,nonexistent,no
149,51.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87.0,1,999,0,nonexistent,no
150,60.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301.0,1,999,0,nonexistent,no
151,56.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46.0,1,999,0,nonexistent,no
152,39.0,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52.0,1,999,0,nonexistent,no
153,56.0,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204.0,1,999,0,nonexistent,no
154,40.0,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155.0,1,999,0,nonexistent,no
155,36.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98.0,1,999,0,nonexistent,no
156,51.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71.0,1,999,0,nonexistent,no
157,51.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243.0,1,999,0,nonexistent,no
158,43.0,technician,single,professional.course,no,yes,no,telephone,may,mon,186.0,2,999,0,nonexistent,no
159,59.0,services,married,high.school,no,no,no,telephone,may,mon,579.0,2,999,0,nonexistent,no
160,24.0,management,single,university.degree,no,yes,no,telephone,may,mon,165.0,2,999,0,nonexistent,no
161,37.0,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163.0,2,999,0,nonexistent,no
162,40.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46.0,1,999,0,nonexistent,no
163,42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559.0,3,999,0,nonexistent,no
164,39.0,services,divorced,high.school,unknown,no,no,telephone,may,mon,,1,999,0,nonexistent,no
165,37.0,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85.0,1,999,0,nonexistent,no
166,38.0,services,married,high.school,no,yes,yes,telephone,may,mon,506.0,1,999,0,nonexistent,no
167,56.0,admin.,divorced,,unknown,no,no,telephone,may,mon,114.0,2,999,0,nonexistent,no
168,40.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,114.0,2,999,0,nonexistent,no
169,54.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,843.0,2,999,0,nonexistent,no
170,43.0,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181.0,1,999,0,nonexistent,no
171,,services,married,high.school,unknown,no,no,telephone,may,mon,427.0,1,999,0,nonexistent,no
172,45.0,technician,married,university.degree,no,yes,yes,telephone,may,mon,292.0,1,999,0,nonexistent,no
173,42.0,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192.0,1,999,0,nonexistent,no
174,43.0,services,married,high.school,no,no,no,telephone,may,mon,93.0,3,999,0,nonexistent,no
175,46.0,management,married,basic.9y,no,no,no,telephone,may,mon,128.0,2,999,0,nonexistent,no
176,44.0,services,married,high.school,no,yes,yes,telephone,may,mon,107.0,1,999,0,nonexistent,no
177,51.0,admin.,single,,no,no,no,telephone,may,mon,303.0,2,999,0,nonexistent,no
178,28.0,services,married,high.school,no,yes,no,telephone,may,mon,81.0,1,999,0,nonexistent,no
179,37.0,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270.0,1,999,0,nonexistent,no
180,34.0,technician,married,high.school,no,no,no,telephone,may,mon,228.0,1,999,0,nonexistent,no
181,46.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240.0,1,999,0,nonexistent,no
182,42.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673.0,2,999,0,nonexistent,yes
183,36.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,233.0,3,999,0,nonexistent,no
184,54.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102.0,1,999,0,nonexistent,no
185,57.0,management,married,university.degree,no,no,no,telephone,may,mon,461.0,1,999,0,nonexistent,no
186,51.0,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250.0,1,999,0,nonexistent,no
187,54.0,retired,married,high.school,unknown,no,no,telephone,may,mon,,1,999,0,nonexistent,no
188,49.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252.0,1,999,0,nonexistent,no
189,34.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,138.0,1,999,0,nonexistent,no
190,41.0,technician,married,,no,no,no,telephone,may,mon,412.0,1,999,0,nonexistent,no
191,38.0,blue-collar,single,,no,yes,no,telephone,may,mon,179.0,2,999,0,nonexistent,no
192,45.0,management,divorced,university.degree,no,no,no,telephone,may,mon,19.0,2,999,0,nonexistent,no
193,42.0,technician,married,university.degree,no,no,no,telephone,may,mon,228.0,2,999,0,nonexistent,no
194,34.0,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55.0,1,999,0,nonexistent,no
195,48.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717.0,1,999,0,nonexistent,no
196,37.0,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313.0,1,999,0,nonexistent,no
197,34.0,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289.0,1,999,0,nonexistent,no
198,40.0,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683.0,2,999,0,nonexistent,no
199,,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077.0,1,999,0,nonexistent,no
200,33.0,services,married,high.school,no,no,no,telephone,may,mon,146.0,2,999,0,nonexistent,no
201,32.0,services,single,basic.6y,no,no,no,telephone,may,mon,167.0,1,999,0,nonexistent,no
202,39.0,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356.0,2,999,0,nonexistent,no
203,43.0,admin.,married,unknown,no,no,no,telephone,may,mon,277.0,1,999,0,nonexistent,no
204,44.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,no
205,35.0,student,single,university.degree,unknown,no,no,telephone,may,mon,218.0,1,999,0,nonexistent,no
206,35.0,,single,university.degree,unknown,yes,yes,telephone,may,mon,217.0,1,999,0,nonexistent,no
207,35.0,unemployed,married,professional.course,no,no,no,telephone,may,mon,,1,999,0,nonexistent,no
208,36.0,services,single,basic.4y,no,no,no,telephone,may,mon,291.0,1,999,0,nonexistent,no
209,35.0,student,single,university.degree,unknown,yes,no,telephone,may,mon,248.0,1,999,0,nonexistent,no
210,36.0,student,single,basic.9y,no,yes,no,telephone,may,mon,256.0,1,999,0,nonexistent,no
211,55.0,housemaid,divorced,,no,no,no,telephone,may,mon,286.0,1,999,0,nonexistent,no
212,59.0,admin.,married,university.degree,no,no,no,telephone,may,mon,477.0,1,999,0,nonexistent,no
213,57.0,retired,married,unknown,unknown,no,no,telephone,may,mon,611.0,2,999,0,nonexistent,no
214,39.0,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471.0,1,999,0,nonexistent,no
215,39.0,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381.0,2,999,0,nonexistent,no
216,30.0,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251.0,1,999,0,nonexistent,no
217,30.0,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408.0,1,999,0,nonexistent,no
218,50.0,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287.0,1,999,0,nonexistent,no
219,40.0,services,married,high.school,no,no,no,telephone,may,mon,322.0,3,999,0,nonexistent,no
220,35.0,admin.,married,,no,yes,no,telephone,may,mon,216.0,2,999,0,nonexistent,no
221,43.0,,married,unknown,unknown,no,no,telephone,may,mon,366.0,2,999,0,nonexistent,no
222,36.0,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210.0,1,999,0,nonexistent,no
223,46.0,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288.0,1,999,0,nonexistent,no
224,40.0,technician,married,basic.9y,no,no,no,telephone,may,mon,168.0,1,999,0,nonexistent,no
225,58.0,retired,married,university.degree,no,no,no,telephone,may,mon,132.0,1,999,0,nonexistent,no
226,42.0,technician,married,university.degree,no,no,no,telephone,may,mon,64.0,2,999,0,nonexistent,no
227,35.0,admin.,single,university.degree,no,no,no,telephone,may,mon,209.0,2,999,0,nonexistent,no
228,43.0,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410.0,3,999,0,nonexistent,no
229,45.0,,married,basic.4y,no,yes,yes,telephone,may,mon,177.0,1,999,0,nonexistent,no
230,39.0,,married,professional.course,no,yes,no,telephone,may,mon,580.0,2,999,0,nonexistent,no
231,50.0,services,divorced,professional.course,no,yes,no,telephone,may,mon,165.0,1,999,0,nonexistent,no
232,32.0,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127.0,2,999,0,nonexistent,no
233,39.0,admin.,married,high.school,unknown,no,no,telephone,may,mon,357.0,1,999,0,nonexistent,no
234,52.0,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175.0,1,999,0,nonexistent,no
235,44.0,admin.,married,professional.course,no,yes,no,telephone,may,mon,300.0,1,999,0,nonexistent,no
236,56.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136.0,1,999,0,nonexistent,no
237,48.0,admin.,married,high.school,no,no,no,telephone,may,mon,125.0,2,999,0,nonexistent,no
238,33.0,services,married,high.school,unknown,no,yes,telephone,may,mon,189.0,2,999,0,nonexistent,no
239,43.0,management,married,university.degree,unknown,no,yes,telephone,may,mon,213.0,3,999,0,nonexistent,no
240,57.0,,married,,no,no,no,telephone,may,mon,238.0,2,999,0,nonexistent,no
241,36.0,technician,single,professional.course,no,no,no,telephone,may,mon,124.0,1,999,0,nonexistent,no
242,34.0,management,married,university.degree,no,yes,no,telephone,may,mon,18.0,1,999,0,nonexistent,no
243,34.0,services,single,basic.9y,no,no,no,telephone,may,mon,730.0,2,999,0,nonexistent,no
244,30.0,technician,married,university.degree,unknown,no,no,telephone,may,mon,40.0,1,999,0,nonexistent,no
245,33.0,services,divorced,unknown,no,no,no,telephone,may,mon,181.0,2,999,0,nonexistent,no
246,32.0,technician,single,professional.course,no,no,no,telephone,may,mon,79.0,1,999,0,nonexistent,no
247,36.0,technician,single,high.school,no,yes,no,telephone,may,mon,142.0,2,999,0,nonexistent,no
248,36.0,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389.0,1,999,0,nonexistent,no
249,33.0,services,single,high.school,no,no,no,telephone,may,mon,702.0,1,999,0,nonexistent,no
250,40.0,technician,divorced,,no,no,no,telephone,may,mon,151.0,1,999,0,nonexistent,no
251,41.0,blue-collar,married,,no,yes,no,telephone,may,mon,211.0,1,999,0,nonexistent,no
252,51.0,services,married,basic.6y,no,yes,no,telephone,may,mon,117.0,1,999,0,nonexistent,no
253,36.0,technician,married,professional.course,no,yes,no,telephone,may,mon,232.0,3,999,0,nonexistent,no
254,28.0,services,married,unknown,no,no,no,telephone,may,mon,408.0,2,999,0,nonexistent,no
255,53.0,services,married,high.school,no,yes,yes,telephone,may,mon,370.0,3,999,0,nonexistent,no
256,58.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,179.0,2,999,0,nonexistent,no
257,45.0,management,married,basic.9y,no,no,yes,telephone,may,mon,46.0,1,999,0,nonexistent,no
258,43.0,technician,married,unknown,no,yes,no,telephone,may,mon,200.0,1,999,0,nonexistent,no
259,33.0,admin.,married,high.school,no,no,yes,telephone,may,mon,50.0,1,999,0,nonexistent,no
260,33.0,admin.,married,high.school,no,no,yes,telephone,may,mon,181.0,1,999,0,nonexistent,no
261,27.0,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,119.0,1,999,0,nonexistent,no
262,42.0,technician,married,high.school,no,no,no,telephone,may,mon,361.0,1,999,0,nonexistent,no
263,43.0,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73.0,3,999,0,nonexistent,no
264,42.0,admin.,married,university.degree,no,no,no,telephone,may,mon,67.0,2,999,0,nonexistent,no
265,27.0,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350.0,1,999,0,nonexistent,no
266,34.0,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150.0,2,999,0,nonexistent,no
267,31.0,student,single,university.degree,unknown,no,no,telephone,may,mon,332.0,2,999,0,nonexistent,no
268,54.0,management,divorced,university.degree,no,no,no,telephone,may,mon,611.0,2,999,0,nonexistent,no
269,40.0,self-employed,married,,unknown,no,no,telephone,may,mon,58.0,3,999,0,nonexistent,no
